kind,symbol,title
u,A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSESDEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMSDEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLYBABY COMFORTERSDEVICES FOR RECEIVING SPITTLE
u,A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSESdevices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles soap compositions"
u,A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERALDISINFECTION, STERILISATION OR DEODORISATION OF AIRCHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLESMATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLESpreservation of bodies or disinfecting characterised by the agents employed preserving, e.g. sterilising, food or foodstuffs preparations for medical, dental or toiletry purposes"
u,A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODYintroducing media into or onto the bodies of animals  means for inserting tampons  devices for administering food or medicines orally  containers for collecting, storing or administering blood or medical fluids DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODYsurgery  chemical aspects of surgical articles  magnetotherapy using magnetic elements placed within the body DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
u,A61N,"ELECTROTHERAPYMAGNETOTHERAPYRADIATION THERAPYULTRASOUND THERAPYmeasurement of bioelectric currents surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body anaesthetic apparatus in general incandescent lamps infrared radiators for heating"
u,A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
u,A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS
c,A62,LIFE-SAVINGFIRE-FIGHTING
u,A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVINGvalves specially adapted for medical use composition of chemical substances used in respirators, gas-masks, breathing apparatus or the like rescuing from mountains or trees , life-saving devices, apparatus or methods specially adapted for use in water divers' equipment specially adapted for use with aircraft, e.g. parachutes or ejector seats, rescue devices peculiar to mining"
u,A62C,"FIRE-FIGHTINGfire-extinguishing compositions, use of chemical substances in extinguishing fires spraying, applying liquids or other fluent materials to surfaces in general fire-fighting aircraft alarm arrangements , e.g. fire alarms actuated by smoke or gases"
u,A62D,"CHEMICAL MEANS FOR EXTINGUISHING FIRESPROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS, OR LESS HARMFUL, BY EFFECTING A CHEMICAL CHANGECOMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTSCOMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS, RESPIRATORS, BREATHING BAGS OR HELMETSCOMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS"
c,A63,SPORTSGAMESAMUSEMENTS
u,A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCINGBALL GAMESTRAINING EQUIPMENTapparatus for passive exercising, massage"
u,A63C,"SKATESSKISROLLER SKATESDESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKEwater skis ,"
u,A63D,"BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLSINSTALLATIONS THEREFORBAGATELLE OR SIMILAR GAMESBILLIARDSballs"
u,A63F,"CARD, BOARD OR ROULETTE GAMESINDOOR GAMES USING SMALL MOVING PLAYING BODIESVIDEO GAMESGAMES NOT OTHERWISE PROVIDED FOR"
u,A63G,MERRY-GO-ROUNDSSWINGSROCKING-HORSESswings or rocking horses as nursery furniture CHUTESSWITCHBACKSSIMILAR DEVICES FOR PUBLIC AMUSEMENT
u,A63H,"TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS"
u,A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKECONJURING APPLIANCES OR THE LIKE"
u,A63K,RACINGRIDING SPORTSEQUIPMENT OR ACCESSORIES THEREFORstop watches timing indicating arrangements for variable information by selection or combination of individual elements
c,A99,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
u,A99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
s,B,PERFORMING OPERATIONSTRANSPORTING
c,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
u,B01B,BOILINGBOILING APPARATUS
u,B01D,"SEPARATIONseparating solids from solids by wet methods , , by pneumatic jigs or tables , by other dry methods magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields centrifuges  vortex apparatus presses per se for squeezing-out liquid from liquid-containing material"
u,B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING mixing paints"
u,B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRYTHEIR RELEVANT APPARATUS"
u,B01L,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE
c,B02,"CRUSHING, PULVERISING, OR DISINTEGRATINGPREPARATORY TREATMENT OF GRAIN FOR MILLING"
u,B02B,PREPARING GRAIN FOR MILLINGREFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACEmaking dough from cereals directly preservation or sterilisation of cereals cleaning fruit preparation of malt
u,B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERALMILLING GRAINobtaining metallic powder by crushing, grinding or milling"
c,B03,SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGSMAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDSSEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
u,B03B,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS
u,B03C,"MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDSSEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDSseparating isotopes combinations of magnetic or electrostatic separation with separation of solids by other means ,"
u,B03D,FLOTATIONDIFFERENTIAL SEDIMENTATIONin combination with other separation of solids sink-float separation
c,B04,CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES
u,B04B,CENTRIFUGEShigh-speed drum mills
u,B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONESexhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust, using inertial or centrifugal separators cyclonic type combustion apparatus"
